REGION,TECHNOLOGY,RUN,VALUE
E06000001,Oil boiler,nz-2045_hp-00,26.65994968389353
E06000001,Oil boiler,nz-2045_hp-01,27.06381730161114
E06000001,Oil boiler,nz-2050_hp-00,1183.818672017026
E06000001,Oil boiler,nz-2050_hp-01,24.70829323071959
E06000002,AAHP,nz-2040_hp-00,76.79059195344996
E06000002,AAHP,nz-2040_hp-01,75.74863848374918
E06000002,AAHP,nz-2045_hp-00,127.21782843155047
E06000002,AAHP,nz-2045_hp-01,52.688409155160414
E06000002,AAHP,nz-2050_hp-00,4.217261291997358e-06
E06000002,AAHP,nz-2050_hp-01,6.723976167573747e-05
E06000002,Air-source HP,nz-2040_hp-00,7946.518966573118
E06000002,Air-source HP,nz-2040_hp-01,8156.707758022424
E06000002,Air-source HP,nz-2045_hp-00,8039.024043876528
E06000002,Air-source HP,nz-2045_hp-01,9751.27432327809
E06000002,Air-source HP,nz-2050_hp-00,13.881135573162249
E06000002,Air-source HP,nz-2050_hp-01,684.514251591394
E06000002,AWHP,nz-2040_hp-00,6358.619083067189
E06000002,AWHP,nz-2040_hp-01,5810.751854256492
E06000002,AWHP,nz-2045_hp-00,5626.951687288377
E06000002,AWHP,nz-2045_hp-01,5605.992553887245
E06000002,AWHP,nz-2050_hp-00,408.63070849330984
E06000002,AWHP,nz-2050_hp-01,508.1600164898574
E06000002,Building eff. measures (high),nz-2040_hp-00,4.6036668241479395e-05
E06000002,Building eff. measures (high),nz-2040_hp-01,2.6291317601614285e-05
E06000002,Building eff. measures (high),nz-2045_hp-00,3.10013650237216e-05
E06000002,Building eff. measures (high),nz-2045_hp-01,2.3571275021580706e-05
E06000002,Building eff. measures (high),nz-2050_hp-00,1.5728168880707305e-06
E06000002,Building eff. measures (high),nz-2050_hp-01,4.5288975843995234e-05
E06000002,Building eff. measures (low),nz-2040_hp-00,291.62155137983257
E06000002,Building eff. measures (low),nz-2040_hp-01,285.5896978587822
E06000002,Building eff. measures (low),nz-2045_hp-00,271.23225563130956
E06000002,Building eff. measures (low),nz-2045_hp-01,430.39596561376845
E06000002,Building eff. measures (low),nz-2050_hp-00,41.71936669696233
E06000002,Building eff. measures (low),nz-2050_hp-01,482.83023751380927
E06000002,Building eff. measures (mid),nz-2040_hp-00,8.718310728730072e-05
E06000002,Building eff. measures (mid),nz-2040_hp-01,5.9052612658493636e-05
E06000002,Building eff. measures (mid),nz-2045_hp-00,6.03987993552769e-05
E06000002,Building eff. measures (mid),nz-2045_hp-01,4.968777444489546e-05
E06000002,Building eff. measures (mid),nz-2050_hp-00,3.1888174548422886e-06
E06000002,Building eff. measures (mid),nz-2050_hp-01,0.00010872828616805803
E06000002,BEST,nz-2040_hp-00,1404.241553813373
E06000002,BEST,nz-2040_hp-01,1404.2415734799617
E06000002,BEST,nz-2045_hp-00,1404.2415654037422
E06000002,BEST,nz-2045_hp-01,1404.2415720922504
E06000002,BEST,nz-2050_hp-00,1404.2416061016665
E06000002,BEST,nz-2050_hp-01,1404.2415703421907
E06000002,Biomass boiler,nz-2040_hp-00,15.123296562211037
E06000002,Biomass boiler,nz-2040_hp-01,16.858048293926842
E06000002,Biomass boiler,nz-2045_hp-00,17.418580594962137
E06000002,Biomass boiler,nz-2045_hp-01,16.52666018118762
E06000002,Biomass boiler,nz-2050_hp-00,15.359067965938689
E06000002,Biomass boiler,nz-2050_hp-01,18.524631492267883
E06000002,Electric resistance heater,nz-2040_hp-00,1578.181429340529
E06000002,Electric resistance heater,nz-2040_hp-01,519.5693501458412
E06000002,Electric resistance heater,nz-2045_hp-00,693.3912302346782
E06000002,Electric resistance heater,nz-2045_hp-01,1589.4076831455607
E06000002,Electric resistance heater,nz-2050_hp-00,2139.626798207428
E06000002,Electric resistance heater,nz-2050_hp-01,9805.36488137772
E06000002,Electric storage heater,nz-2040_hp-00,124.55072207402559
E06000002,Electric storage heater,nz-2040_hp-01,125.63454541033204
E06000002,Electric storage heater,nz-2045_hp-00,126.38297637287236
E06000002,Electric storage heater,nz-2045_hp-01,115.35519013885599
E06000002,Electric storage heater,nz-2050_hp-00,128.68071214274585
E06000002,Electric storage heater,nz-2050_hp-01,123.62189711008514
E06000002,Ground-source HP,nz-2040_hp-00,656.8224450231409
E06000002,Ground-source HP,nz-2040_hp-01,249.6522060588708
E06000002,Ground-source HP,nz-2045_hp-00,1220.149206867836
E06000002,Ground-source HP,nz-2045_hp-01,1555.9933357835985
E06000002,Ground-source HP,nz-2050_hp-00,1.3763748772366489
E06000002,Ground-source HP,nz-2050_hp-01,1.3768535262226385
E06000002,H2 boiler,nz-2040_hp-00,35.813615311834134
E06000002,H2 boiler,nz-2040_hp-01,1639.0572992854497
E06000002,H2 boiler,nz-2045_hp-00,9.386668281131916
E06000002,H2 boiler,nz-2045_hp-01,16.866745965446835
E06000002,H2 boiler,nz-2050_hp-00,0.0006676740045004607
E06000002,H2 boiler,nz-2050_hp-01,5.677299395528514
E06000002,Heat interface unit,nz-2040_hp-00,119.00222167109327
E06000002,Heat interface unit,nz-2040_hp-01,901.5742040556834
E06000002,Heat interface unit,nz-2045_hp-00,1324.4336973534448
E06000002,Heat interface unit,nz-2045_hp-01,1105.2946228870821
E06000002,Heat interface unit,nz-2050_hp-00,4977.062269288184
