"NAME_IN_MODEL","CATEGORY","NAME","PROPERTY_TYPE"
"BMPPSNAT00","TECHNOLOGY",,
"OWPPSNAT00","TECHNOLOGY",,
"FWPPSNAT00","TECHNOLOGY",,
"OSPPSNAT00","TECHNOLOGY",,
"RSPPSNAT00","TECHNOLOGY",,
"CLPPSNAT00","TECHNOLOGY",,
"H2PPSNAT00","TECHNOLOGY",,
"BSPPSNAT00","TECHNOLOGY",,
"AESPSNAT00","TECHNOLOGY",,
"AEHPSNAT00","TECHNOLOGY",,
"SRHPSNAT00","TECHNOLOGY",,
