YEAR,TECHNOLOGY,RUN,VALUE
2025,District heat,nz-2050_hp-01,0.3169405945979742
2025,Building retrofit,nz-2040_hp-00,0.1587453630647536
2025,Building retrofit,nz-2040_hp-01,0.1514127046909361
2025,Building retrofit,nz-2045_hp-00,0.15554089270696003
2025,Building retrofit,nz-2045_hp-01,0.1829260237765809
2025,Building retrofit,nz-2050_hp-00,0.1514542060394377
2025,Building retrofit,nz-2050_hp-01,0.21143441476841088
2025,Building heating,nz-2040_hp-00,8.789390365625623
2025,Building heating,nz-2040_hp-01,8.498076736825515
2025,Building heating,nz-2045_hp-00,8.48966093264962
2025,Building heating,nz-2045_hp-01,8.7399473066982
2025,Building heating,nz-2050_hp-00,7.551292100258833
2025,Building heating,nz-2050_hp-01,7.590897940152487
2025,Wet heating system,nz-2040_hp-00,1.307492921761227
2025,Wet heating system,nz-2040_hp-01,1.3198162214039644
2025,Wet heating system,nz-2045_hp-00,1.3223844715031108
2025,Wet heating system,nz-2045_hp-01,1.2874040451697415
2025,Wet heating system,nz-2050_hp-00,1.2436490057404492
2025,Wet heating system,nz-2050_hp-01,1.4011868937360692
2025,Others,nz-2040_hp-00,0.0005242588332264518
2025,Others,nz-2040_hp-01,0.0005242500991024127
2025,Others,nz-2045_hp-00,0.0005242505208612266
2025,Others,nz-2045_hp-01,5.88658875207548
2025,Others,nz-2050_hp-00,0.0005242465085707873
2025,Others,nz-2050_hp-01,0.0005242531514482074
2030,Energy supply,nz-2040_hp-00,9.949642115923227
2030,Energy supply,nz-2040_hp-01,9.857502682503352
2030,Energy supply,nz-2045_hp-00,9.841552834214403
2030,Energy supply,nz-2045_hp-01,9.829722470785928
2030,Energy supply,nz-2050_hp-00,10.899469844440866
2030,Energy supply,nz-2050_hp-01,10.27390089280447
2030,Networks,nz-2040_hp-00,8.784979229007853
2030,Networks,nz-2040_hp-01,7.730303567274089
2030,Networks,nz-2045_hp-00,8.725198210978451
2030,Networks,nz-2045_hp-01,7.246731278955518
2030,Networks,nz-2050_hp-00,6.61426447273835
2030,Networks,nz-2050_hp-01,9.030160760836932
2030,District heat,nz-2040_hp-00,0.04522534298294777
2030,District heat,nz-2040_hp-01,0.17077123040177783
2030,District heat,nz-2045_hp-00,0.22134485766830359
2030,District heat,nz-2045_hp-01,0.43733024876209614
2030,District heat,nz-2050_hp-00,0.5465027480995721
2030,District heat,nz-2050_hp-01,0.5454448239276176
2030,Building retrofit,nz-2040_hp-00,0.35640983149737054
2030,Building retrofit,nz-2040_hp-01,0.3411380636261125
2030,Building retrofit,nz-2045_hp-00,0.35699643161933375
2030,Building retrofit,nz-2045_hp-01,0.4332266767574895
2030,Building retrofit,nz-2050_hp-00,0.359816266048833
2030,Building retrofit,nz-2050_hp-01,0.5099775020445821
2030,Building heating,nz-2040_hp-00,8.973503306319664
2030,Building heating,nz-2040_hp-01,8.984634834411967
2030,Building heating,nz-2045_hp-00,8.666587577293168
2030,Building heating,nz-2045_hp-01,9.339658961906542
2030,Building heating,nz-2050_hp-00,6.675505578519812
2030,Building heating,nz-2050_hp-01,6.758419871350582
2030,Wet heating system,nz-2040_hp-00,1.4974258890030996
2030,Wet heating system,nz-2040_hp-01,1.5179703079842317
2030,Wet heating system,nz-2045_hp-00,1.4953283731370497
2030,Wet heating system,nz-2045_hp-01,1.5398765061173199
2030,Wet heating system,nz-2050_hp-00,1.2058731096275368
2030,Wet heating system,nz-2050_hp-01,1.3627079873479915
2030,Others,nz-2040_hp-00,0.0004218298793641804
2030,Others,nz-2040_hp-01,0.0004218199884371152
2030,Others,nz-2045_hp-00,0.00042182019945484153
2030,Others,nz-2045_hp-01,69.0538859496428
2030,Others,nz-2050_hp-00,0.00042181588402214815
2030,Others,nz-2050_hp-01,0.00042184453533310835
2035,Energy supply,nz-2040_hp-00,9.199433380691893
2035,Energy supply,nz-2040_hp-01,9.199811138848794
2035,Energy supply,nz-2045_hp-00,9.235893158765146
2035,Energy supply,nz-2045_hp-01,9.359024913865463
2035,Energy supply,nz-2050_hp-00,10.979614235357296
2035,Energy supply,nz-2050_hp-01,10.64141012757871
2035,Networks,nz-2040_hp-00,7.007812879257796
2035,Networks,nz-2040_hp-01,6.216936440972593
2035,Networks,nz-2045_hp-00,6.935984262061772
2035,Networks,nz-2045_hp-01,5.8579749189269394
2035,Networks,nz-2050_hp-00,6.537859350879265
2035,Networks,nz-2050_hp-01,7.704235232925899
2035,District heat,nz-2040_hp-00,0.03593531181240402
2035,District heat,nz-2040_hp-01,0.18142923697542976
2035,District heat,nz-2045_hp-00,0.2506763375007153
2035,District heat,nz-2045_hp-01,0.43628904805100976
2035,District heat,nz-2050_hp-00,0.6886768553259516
2035,District heat,nz-2050_hp-01,1.1726207079483353
2035,Building retrofit,nz-2040_hp-00,0.39120738650511483
2035,Building retrofit,nz-2040_hp-01,0.3994444453684281
2035,Building retrofit,nz-2045_hp-00,0.390059073916555
2035,Building retrofit,nz-2045_hp-01,0.46345518325172946
2035,Building retrofit,nz-2050_hp-00,0.3885582866380722
2035,Building retrofit,nz-2050_hp-01,0.6130047633226698
2035,Building heating,nz-2040_hp-00,10.421684425564868
2035,Building heating,nz-2040_hp-01,11.055876936445154
2035,Building heating,nz-2045_hp-00,10.391016449396849
2035,Building heating,nz-2045_hp-01,10.794029184560936
2035,Building heating,nz-2050_hp-00,6.134546527466682
2035,Building heating,nz-2050_hp-01,6.469394253641428
2035,Wet heating system,nz-2040_hp-00,1.7821476894407393
2035,Wet heating system,nz-2040_hp-01,1.783374385920673
2035,Wet heating system,nz-2045_hp-00,1.7400340776451753
2035,Wet heating system,nz-2045_hp-01,1.7707638743107328
2035,Wet heating system,nz-2050_hp-00,1.1540654869840572
2035,Wet heating system,nz-2050_hp-01,1.1599987071130362
2035,Others,nz-2040_hp-00,0.0003125403285524171
2035,Others,nz-2040_hp-01,0.00031253008440959183
2035,Others,nz-2045_hp-00,0.00031253077244343305
2035,Others,nz-2045_hp-01,58.482154611153334
2035,Others,nz-2050_hp-00,0.00031252600805343204
2035,Others,nz-2050_hp-01,0.00031253258440144355
2040,Energy supply,nz-2040_hp-00,8.529474846606501
2040,Energy supply,nz-2040_hp-01,10.049294400835011
2040,Energy supply,nz-2045_hp-00,8.535521047214994
2040,Energy supply,nz-2045_hp-01,8.54445575154686
2040,Energy supply,nz-2050_hp-00,11.6177136902576
2040,Energy supply,nz-2050_hp-01,11.069543516287876
2040,Networks,nz-2040_hp-00,4.420006103075827
2040,Networks,nz-2040_hp-01,4.642606427870281
2040,Networks,nz-2045_hp-00,4.472633358882634
2040,Networks,nz-2045_hp-01,4.1871895231224165
2040,Networks,nz-2050_hp-00,6.178068127022009
2040,Networks,nz-2050_hp-01,5.463308351949147
2040,District heat,nz-2040_hp-00,0.03543239691966856
2040,District heat,nz-2040_hp-01,0.171552429213089
2040,District heat,nz-2045_hp-00,0.34347613939794747
2040,District heat,nz-2045_hp-01,0.4829968365290522
2040,District heat,nz-2050_hp-00,0.7378438263855456
2040,District heat,nz-2050_hp-01,2.1545146720823873
2040,Building retrofit,nz-2040_hp-00,0.48424307301796016
2040,Building retrofit,nz-2040_hp-01,0.4512341522118679
2040,Building retrofit,nz-2045_hp-00,0.43974190644993066
2040,Building retrofit,nz-2045_hp-01,0.4890612730475092
2040,Building retrofit,nz-2050_hp-00,0.3891808401143953
2040,Building retrofit,nz-2050_hp-01,0.6311976021931879
