RUN,TECHNOLOGY,YEAR,VALUE
nz-2045_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,ASHP,2015,0.0
nz-2045_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,ASHP,2023,0.27480914894511954
nz-2045_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,ASHP,2025,0.26554659724331775
nz-2045_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,ASHP,2030,0.5990637704830103
nz-2045_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,ASHP,2035,1.0062141906306088
nz-2045_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,ASHP,2040,1.4490294516352054
nz-2045_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,ASHP,2045,0.9379555205097853
nz-2045_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,ASHP,2050,1.0220816679349074
nz-2045_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,ASHP,2055,1.4934683401776518
nz-2045_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,ASHP,2015,0.0
nz-2045_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,ASHP,2023,0.0
nz-2045_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,ASHP,2025,0.0
nz-2045_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,ASHP,2030,0.10435481436403866
nz-2045_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,ASHP,2035,0.21465656796165866
nz-2045_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,ASHP,2040,0.25268316594897605
nz-2045_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,ASHP,2045,0.2865222563079211
nz-2045_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,ASHP,2050,0.33164416258773644
nz-2045_hp-01_dh-00_lp-00_h2-00_UK|LA|SO,ASHP,2055,0.366359867495786
nz-2045_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,ASHP,2015,0.0
nz-2045_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,ASHP,2023,0.0
nz-2045_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,ASHP,2025,0.0
nz-2045_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,ASHP,2030,0.10968107731596252
nz-2045_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,ASHP,2035,0.2146489738555936
nz-2045_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,ASHP,2040,0.25502488613315494
nz-2045_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,ASHP,2045,0.2872882997191745
nz-2045_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,ASHP,2050,0.32538086353576023
nz-2045_hp-01_dh-00_lp-00_h2-01_UK|LA|SO,ASHP,2055,0.36524884413525704
nz-2045_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,ASHP,2015,0.0
nz-2045_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,ASHP,2023,0.0
nz-2045_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,ASHP,2025,0.0
nz-2045_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,ASHP,2030,0.17048731816801424
nz-2045_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,ASHP,2035,0.1817449583236573
nz-2045_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,ASHP,2040,0.25325021011963206
nz-2045_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,ASHP,2045,0.2870882868934353
nz-2045_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,ASHP,2050,0.3320475154373764
nz-2045_hp-01_dh-00_lp-01_h2-00_UK|LA|SO,ASHP,2055,0.36565064585970775
