REGION,PROPERTY_TYPE,YEAR,VALUE
E06000004,Flats,2060,11217.0
E06000004,Semi-detached,2015,37116.833333333336
E06000004,Semi-detached,2021,37987.0
E06000004,Semi-detached,2023,38326.5
E06000004,Semi-detached,2025,38841.4
E06000004,Semi-detached,2030,39560.6
E06000004,Semi-detached,2035,40210.8
E06000004,Semi-detached,2040,40705.2
E06000004,Semi-detached,2045,41133.4
E06000004,Semi-detached,2050,41577.4
E06000004,Semi-detached,2055,42032.8
E06000004,Semi-detached,2060,42306.0
E06000004,Terraced,2015,22347.5
E06000004,Terraced,2021,22857.5
E06000004,Terraced,2023,23064.0
E06000004,Terraced,2025,23368.0
E06000004,Terraced,2030,23804.2
E06000004,Terraced,2035,24195.8
E06000004,Terraced,2040,24492.6
E06000004,Terraced,2045,24745.4
E06000004,Terraced,2050,25013.8
E06000004,Terraced,2055,25295.6
E06000004,Terraced,2060,25458.0
E06000005,Detached,2015,6959.5
E06000005,Detached,2021,7349.5
E06000005,Detached,2023,7396.5
E06000005,Detached,2025,7466.6
E06000005,Detached,2030,7569.4
E06000005,Detached,2035,7674.4
E06000005,Detached,2040,7753.0
E06000005,Detached,2045,7825.2
E06000005,Detached,2050,7897.8
E06000005,Detached,2055,7969.2
E06000005,Detached,2060,8010.0
E06000005,Flats,2015,7057.833333333333
E06000005,Flats,2021,7265.0
E06000005,Flats,2023,7313.0
E06000005,Flats,2025,7388.6
E06000005,Flats,2030,7487.2
E06000005,Flats,2035,7586.0
E06000005,Flats,2040,7662.6
E06000005,Flats,2045,7735.6
E06000005,Flats,2050,7809.0
E06000005,Flats,2055,7877.4
E06000005,Flats,2060,7917.0
E06000005,Semi-detached,2015,19957.333333333332
E06000005,Semi-detached,2021,20450.0
E06000005,Semi-detached,2023,20566.5
E06000005,Semi-detached,2025,20782.8
E06000005,Semi-detached,2030,21070.0
E06000005,Semi-detached,2035,21349.0
E06000005,Semi-detached,2040,21567.6
E06000005,Semi-detached,2045,21765.2
E06000005,Semi-detached,2050,21973.0
E06000005,Semi-detached,2055,22172.2
E06000005,Semi-detached,2060,22299.0
E06000005,Terraced,2015,16264.333333333334
E06000005,Terraced,2021,16504.5
E06000005,Terraced,2023,16609.0
