REGION,TECHNOLOGY,RUN,VALUE
E06000003,Building Heat Dist.,nz-2045_hp-01,31.13687987166238
E06000003,Building Heat Dist.,nz-2050_hp-00,21.96460346458668
E06000003,Building Heat Dist.,nz-2050_hp-01,18.688975283731818
E06000003,Building Heat Eff.,nz-2040_hp-00,5.257455267463942
E06000003,Building Heat Eff.,nz-2040_hp-01,4.814172138420821
E06000003,Building Heat Eff.,nz-2045_hp-00,4.253394327312924
E06000003,Building Heat Eff.,nz-2045_hp-01,6.8879395661818785
E06000003,Building Heat Eff.,nz-2050_hp-00,3.5391931905201197
E06000003,Building Heat Eff.,nz-2050_hp-01,6.603461592665777
E06000003,Building Heat Gen.,nz-2040_hp-00,192.59122606876664
E06000003,Building Heat Gen.,nz-2040_hp-01,173.20131746066028
E06000003,Building Heat Gen.,nz-2045_hp-00,164.63043309840347
E06000003,Building Heat Gen.,nz-2045_hp-01,172.9958730722757
E06000003,Building Heat Gen.,nz-2050_hp-00,117.70457937567991
E06000003,Building Heat Gen.,nz-2050_hp-01,113.90312261559744
E06000003,DH systems,nz-2040_hp-00,1.3126571427390894
E06000003,DH systems,nz-2040_hp-01,17.163420597401227
E06000003,DH systems,nz-2045_hp-00,20.856295523432802
E06000003,DH systems,nz-2045_hp-01,36.57659446955062
E06000003,DH systems,nz-2050_hp-00,20.475625392459346
E06000003,DH systems,nz-2050_hp-01,44.007663228698924
E06000003,Others,nz-2040_hp-00,0.004707468953184509
E06000003,Others,nz-2040_hp-01,0.004707238581503031
E06000003,Others,nz-2045_hp-00,0.004707228256117836
E06000003,Others,nz-2045_hp-01,804.2647582767748
E06000003,Others,nz-2050_hp-00,0.004707084078978644
E06000003,Others,nz-2050_hp-01,0.004707295911818524
E06000003,Supply,nz-2040_hp-00,0.2695550741238369
E06000003,Supply,nz-2040_hp-01,0.26991904518411847
E06000003,Supply,nz-2045_hp-00,0.27695484979850804
E06000003,Supply,nz-2045_hp-01,0.3270092934816222
E06000003,Supply,nz-2050_hp-00,0.24460855136617515
E06000003,Supply,nz-2050_hp-01,0.2548199496810157
E06000003,T&D (except DH),nz-2040_hp-00,131.7416276204064
E06000003,T&D (except DH),nz-2040_hp-01,131.63048171411154
E06000003,T&D (except DH),nz-2045_hp-00,131.3878189251458
E06000003,T&D (except DH),nz-2045_hp-01,128.8296795851416
E06000003,T&D (except DH),nz-2050_hp-00,130.22823150224568
E06000003,T&D (except DH),nz-2050_hp-01,132.34258753255156
E06000004,Building Heat Dist.,nz-2040_hp-00,47.343053037025136
E06000004,Building Heat Dist.,nz-2040_hp-01,48.585032320877694
E06000004,Building Heat Dist.,nz-2045_hp-00,49.234778579430824
E06000004,Building Heat Dist.,nz-2045_hp-01,46.36497462129321
E06000004,Building Heat Dist.,nz-2050_hp-00,31.541667883958656
E06000004,Building Heat Dist.,nz-2050_hp-01,28.295408263805452
E06000004,Building Heat Eff.,nz-2040_hp-00,9.248257380865777
E06000004,Building Heat Eff.,nz-2040_hp-01,9.124549974619105
E06000004,Building Heat Eff.,nz-2045_hp-00,9.034412670213431
E06000004,Building Heat Eff.,nz-2045_hp-01,9.063236792653655
E06000004,Building Heat Eff.,nz-2050_hp-00,7.563545432406458
E06000004,Building Heat Eff.,nz-2050_hp-01,12.273313606396595
E06000004,Building Heat Gen.,nz-2040_hp-00,290.54593918229466
E06000004,Building Heat Gen.,nz-2040_hp-01,291.5844546611294
E06000004,Building Heat Gen.,nz-2045_hp-00,296.4180749219307
E06000004,Building Heat Gen.,nz-2045_hp-01,280.32895959165666
E06000004,Building Heat Gen.,nz-2050_hp-00,197.51705860060437
E06000004,Building Heat Gen.,nz-2050_hp-01,212.51504045431287
E06000004,DH systems,nz-2040_hp-00,0.5182941867974696
E06000004,DH systems,nz-2040_hp-01,1.2333442416500227
E06000004,DH systems,nz-2045_hp-00,1.5498997730168387
E06000004,DH systems,nz-2045_hp-01,2.49744553794424
E06000004,DH systems,nz-2050_hp-00,3.4033942704398115
E06000004,DH systems,nz-2050_hp-01,15.598648563334109
E06000004,Others,nz-2040_hp-00,0.007496816886739949
E06000004,Others,nz-2040_hp-01,0.007496662971481025
E06000004,Others,nz-2045_hp-00,0.007496563703315692
E06000004,Others,nz-2045_hp-01,0.007496574832299037
E06000004,Others,nz-2050_hp-00,0.007496411552132554
E06000004,Others,nz-2050_hp-01,0.00749674976188607
E06000004,Supply,nz-2040_hp-00,0.12770714025972596
E06000004,Supply,nz-2040_hp-01,0.1863294127211878
E06000004,Supply,nz-2045_hp-00,0.21589454209910616
E06000004,Supply,nz-2045_hp-01,0.24273732227079517
E06000004,Supply,nz-2050_hp-00,0.15718176839223744
E06000004,Supply,nz-2050_hp-01,1.221546172890854
E06000004,T&D (except DH),nz-2040_hp-00,167.69804549505295
E06000004,T&D (except DH),nz-2040_hp-01,169.41806138556035
E06000004,T&D (except DH),nz-2045_hp-00,167.54362941970058
E06000004,T&D (except DH),nz-2045_hp-01,167.62848196584156
E06000004,T&D (except DH),nz-2050_hp-00,166.9243868806763
E06000004,T&D (except DH),nz-2050_hp-01,174.4278972968174
E06000005,Building Heat Dist.,nz-2040_hp-00,28.30627662894674
E06000005,Building Heat Dist.,nz-2040_hp-01,28.666454562093787
E06000005,Building Heat Dist.,nz-2045_hp-00,28.98696050329124
E06000005,Building Heat Dist.,nz-2045_hp-01,27.586350159110538
E06000005,Building Heat Dist.,nz-2050_hp-00,19.714718322192383
E06000005,Building Heat Dist.,nz-2050_hp-01,17.619315529794985
E06000005,Building Heat Eff.,nz-2040_hp-00,5.895787123771501
E06000005,Building Heat Eff.,nz-2040_hp-01,5.79548329322491
E06000005,Building Heat Eff.,nz-2045_hp-00,5.85887170033838
E06000005,Building Heat Eff.,nz-2045_hp-01,5.824886588305386
E06000005,Building Heat Eff.,nz-2050_hp-00,4.730222498841894
E06000005,Building Heat Eff.,nz-2050_hp-01,7.249553517975711
E06000005,Building Heat Gen.,nz-2040_hp-00,179.29809400749227
E06000005,Building Heat Gen.,nz-2040_hp-01,176.8530032720495
E06000005,Building Heat Gen.,nz-2045_hp-00,179.59231008123916
E06000005,Building Heat Gen.,nz-2045_hp-01,167.8212909048588
E06000005,Building Heat Gen.,nz-2050_hp-00,116.26461925817696
E06000005,Building Heat Gen.,nz-2050_hp-01,129.66312675668559
E06000005,DH systems,nz-2040_hp-00,0.3360873648341768
E06000005,DH systems,nz-2040_hp-01,1.4478449727221463
E06000005,DH systems,nz-2045_hp-00,2.3733568546514645
E06000005,DH systems,nz-2045_hp-01,4.393764879247385
E06000005,DH systems,nz-2050_hp-00,4.9949973455522505
E06000005,DH systems,nz-2050_hp-01,9.73316534995425
E06000005,Others,nz-2040_hp-00,0.004500726819279128
E06000005,Others,nz-2040_hp-01,0.0045005101174057215
E06000005,Others,nz-2045_hp-00,0.004500420245304213
E06000005,Others,nz-2045_hp-01,0.004500468239159929
E06000005,Others,nz-2050_hp-00,0.004500268399031744
E06000005,Others,nz-2050_hp-01,0.0045005878967328715
E06000005,Supply,nz-2040_hp-00,0.08254776729297401
E06000005,Supply,nz-2040_hp-01,0.1309843311383912
E06000005,Supply,nz-2045_hp-00,0.17689311861812515
E06000005,Supply,nz-2045_hp-01,0.19264470719360588
E06000005,Supply,nz-2050_hp-00,0.08937075516174513
E06000005,Supply,nz-2050_hp-01,0.19605737521052788
E06000005,T&D (except DH),nz-2040_hp-00,101.28330465192737
E06000005,T&D (except DH),nz-2040_hp-01,102.69879538417388
E06000005,T&D (except DH),nz-2045_hp-00,101.13522763540587
E06000005,T&D (except DH),nz-2045_hp-01,101.16125688195807
E06000005,T&D (except DH),nz-2050_hp-00,100.48026686669361
E06000005,T&D (except DH),nz-2050_hp-01,105.72887791637869
E06000006,Building Heat Dist.,nz-2040_hp-00,31.730503507670015
E06000006,Building Heat Dist.,nz-2040_hp-01,32.520722026017154
E06000006,Building Heat Dist.,nz-2045_hp-00,32.897914928129495
E06000006,Building Heat Dist.,nz-2045_hp-01,31.235716993934382
E06000006,Building Heat Dist.,nz-2050_hp-00,20.290233072643144
E06000006,Building Heat Dist.,nz-2050_hp-01,18.134685815966456
E06000006,Building Heat Eff.,nz-2040_hp-00,7.0120616850827915
E06000006,Building Heat Eff.,nz-2040_hp-01,6.957311780053848
E06000006,Building Heat Eff.,nz-2045_hp-00,6.930122470698157
E06000006,Building Heat Eff.,nz-2045_hp-01,6.962666176722387
E06000006,Building Heat Eff.,nz-2050_hp-00,6.11476613919047
E06000006,Building Heat Eff.,nz-2050_hp-01,8.825228139087795
E06000006,Building Heat Gen.,nz-2040_hp-00,198.0770749778515
E06000006,Building Heat Gen.,nz-2040_hp-01,200.04397085346656
E06000006,Building Heat Gen.,nz-2045_hp-00,202.52822232514893
E06000006,Building Heat Gen.,nz-2045_hp-01,191.9364009407404
E06000006,Building Heat Gen.,nz-2050_hp-00,125.70203293643625
E06000006,Building Heat Gen.,nz-2050_hp-01,141.76426302807346
E06000006,DH systems,nz-2040_hp-00,0.2585510075250622
E06000006,DH systems,nz-2040_hp-01,0.6707500872235536
E06000006,DH systems,nz-2045_hp-00,1.2229973796428115
E06000006,DH systems,nz-2045_hp-01,1.8126569717672822
E06000006,DH systems,nz-2050_hp-00,10.77587768232218
E06000006,DH systems,nz-2050_hp-01,10.311621888184428
E06000006,Others,nz-2040_hp-00,0.004510440340552329
E06000006,Others,nz-2040_hp-01,0.004510126716220003
E06000006,Others,nz-2045_hp-00,0.004510029248544469
E06000006,Others,nz-2045_hp-01,0.004510074901715806
E06000006,Others,nz-2050_hp-00,0.0045098773683801725
E06000006,Others,nz-2050_hp-01,0.004510225979764332
E06000006,Supply,nz-2040_hp-00,0.03575122388900972
E06000006,Supply,nz-2040_hp-01,0.037561026458181226
E06000006,Supply,nz-2045_hp-00,0.0398200953483727
E06000006,Supply,nz-2045_hp-01,0.03981498787843411
E06000006,Supply,nz-2050_hp-00,0.03185650913246392
E06000006,Supply,nz-2050_hp-01,0.04395204530828303
E06000006,T&D (except DH),nz-2040_hp-00,96.29884486341406
E06000006,T&D (except DH),nz-2040_hp-01,97.43295674416218
E06000006,T&D (except DH),nz-2045_hp-00,96.18761314453275
E06000006,T&D (except DH),nz-2045_hp-01,96.26341757470502
E06000006,T&D (except DH),nz-2050_hp-00,95.80706157959449
E06000006,T&D (except DH),nz-2050_hp-01,100.48672923769874
E06000007,Building Heat Dist.,nz-2040_hp-00,56.447158619707395
E06000007,Building Heat Dist.,nz-2040_hp-01,57.897668645513946
E06000007,Building Heat Dist.,nz-2045_hp-00,58.129090850231066
E06000007,Building Heat Dist.,nz-2045_hp-01,60.80780726591547
E06000007,Building Heat Dist.,nz-2050_hp-00,36.66754805856373
E06000007,Building Heat Dist.,nz-2050_hp-01,32.69685390760872
E06000007,Building Heat Eff.,nz-2040_hp-00,15.31871463213682
E06000007,Building Heat Eff.,nz-2040_hp-01,14.308275259358258
E06000007,Building Heat Eff.,nz-2045_hp-00,15.326207485864403
E06000007,Building Heat Eff.,nz-2045_hp-01,18.225514443721966
E06000007,Building Heat Eff.,nz-2050_hp-00,13.277424666949416
E06000007,Building Heat Eff.,nz-2050_hp-01,19.375465565516656
E06000007,Building Heat Gen.,nz-2040_hp-00,345.1909918916105
E06000007,Building Heat Gen.,nz-2040_hp-01,345.9893224064993
E06000007,Building Heat Gen.,nz-2045_hp-00,348.100481002766
E06000007,Building Heat Gen.,nz-2045_hp-01,384.7800758192317
E06000007,Building Heat Gen.,nz-2050_hp-00,211.79719074572574
E06000007,Building Heat Gen.,nz-2050_hp-01,236.84797990412454
E06000007,DH systems,nz-2040_hp-00,0.27487511603882187
E06000007,DH systems,nz-2040_hp-01,1.8056716662141956
E06000007,DH systems,nz-2045_hp-00,2.9391306041274987
E06000007,DH systems,nz-2045_hp-01,2.691206764910349
E06000007,DH systems,nz-2050_hp-00,21.850598187289297
E06000007,DH systems,nz-2050_hp-01,30.933450991815903
E06000007,Others,nz-2040_hp-00,0.008269463707902713
E06000007,Others,nz-2040_hp-01,0.008269310955143262
E06000007,Others,nz-2045_hp-00,0.008269095352744947
E06000007,Others,nz-2045_hp-01,1414.493491497966
E06000007,Others,nz-2050_hp-00,0.008268896078669874
E06000007,Others,nz-2050_hp-01,0.00826957754292938
E06000007,Supply,nz-2040_hp-00,0.0577099560256019
E06000007,Supply,nz-2040_hp-01,0.08339574299997134
E06000007,Supply,nz-2045_hp-00,0.10919975191333743
E06000007,Supply,nz-2045_hp-01,0.12379857890022467
E06000007,Supply,nz-2050_hp-00,0.08315866482452963
E06000007,Supply,nz-2050_hp-01,0.13436421000063728
E06000007,T&D (except DH),nz-2040_hp-00,164.45090203895438
E06000007,T&D (except DH),nz-2040_hp-01,165.942773858765
E06000007,T&D (except DH),nz-2045_hp-00,164.19318815022154
E06000007,T&D (except DH),nz-2045_hp-01,162.5907280025233
E06000007,T&D (except DH),nz-2050_hp-00,163.48799326271845
E06000007,T&D (except DH),nz-2050_hp-01,170.32919707326562
E06000008,Building Heat Dist.,nz-2040_hp-00,37.831153040620855
E06000008,Building Heat Dist.,nz-2040_hp-01,38.43957540783271
E06000008,Building Heat Dist.,nz-2045_hp-00,38.69209208011048
E06000008,Building Heat Dist.,nz-2045_hp-01,41.083418586392156
E06000008,Building Heat Dist.,nz-2050_hp-00,26.24855977811008
E06000008,Building Heat Dist.,nz-2050_hp-01,22.932310056158627
E06000008,Building Heat Eff.,nz-2040_hp-00,9.909345261312762
E06000008,Building Heat Eff.,nz-2040_hp-01,9.524284877285615
E06000008,Building Heat Eff.,nz-2045_hp-00,9.658500098391519
E06000008,Building Heat Eff.,nz-2045_hp-01,12.476832193162442
E06000008,Building Heat Eff.,nz-2050_hp-00,7.258152678080885
E06000008,Building Heat Eff.,nz-2050_hp-01,12.719404725410433
E06000008,Building Heat Gen.,nz-2040_hp-00,240.71838313106034
E06000008,Building Heat Gen.,nz-2040_hp-01,238.89537055298328
E06000008,Building Heat Gen.,nz-2045_hp-00,238.65397140844829
E06000008,Building Heat Gen.,nz-2045_hp-01,267.020236412462
E06000008,Building Heat Gen.,nz-2050_hp-00,147.66634766903158
E06000008,Building Heat Gen.,nz-2050_hp-01,153.0943049096397
E06000008,DH systems,nz-2040_hp-00,0.5001046797266858
E06000008,DH systems,nz-2040_hp-01,3.077264120604874
E06000008,DH systems,nz-2045_hp-00,5.04311911691846
E06000008,DH systems,nz-2045_hp-01,5.303083374615019
E06000008,DH systems,nz-2050_hp-00,15.220681555602418
E06000008,DH systems,nz-2050_hp-01,39.23510234919861
E06000008,Others,nz-2040_hp-00,0.005642318110636606
E06000008,Others,nz-2040_hp-01,0.005642273495352743
E06000008,Others,nz-2045_hp-00,0.00564212941429455
E06000008,Others,nz-2045_hp-01,953.4577206161031
E06000008,Others,nz-2050_hp-00,0.005641934038303711
E06000008,Others,nz-2050_hp-01,0.005642492192492425
E06000008,Supply,nz-2040_hp-00,0.19181862186294418
E06000008,Supply,nz-2040_hp-01,0.23954060101490748
E06000008,Supply,nz-2045_hp-00,0.48362636479553867
E06000008,Supply,nz-2045_hp-01,0.5843989087723683
E06000008,Supply,nz-2050_hp-00,0.2093682922117763
E06000008,Supply,nz-2050_hp-01,0.624440101450336
E06000008,T&D (except DH),nz-2040_hp-00,111.7004272282974
E06000008,T&D (except DH),nz-2040_hp-01,112.60240544586449
E06000008,T&D (except DH),nz-2045_hp-00,111.41386376303755
E06000008,T&D (except DH),nz-2045_hp-01,110.25221183281398
E06000008,T&D (except DH),nz-2050_hp-00,110.7155004370189
E06000008,T&D (except DH),nz-2050_hp-01,114.46002369629441
E06000009,Building Heat Dist.,nz-2040_hp-00,38.29526259497406
E06000009,Building Heat Dist.,nz-2040_hp-01,38.69124753051926
E06000009,Building Heat Dist.,nz-2045_hp-00,38.757383948100426
E06000009,Building Heat Dist.,nz-2045_hp-01,42.069840633895495
E06000009,Building Heat Dist.,nz-2050_hp-00,27.064452910145043
E06000009,Building Heat Dist.,nz-2050_hp-01,23.550396192361532
E06000009,Building Heat Eff.,nz-2040_hp-00,10.11107468620679
E06000009,Building Heat Eff.,nz-2040_hp-01,9.666374430616777
E06000009,Building Heat Eff.,nz-2045_hp-00,10.615878314493928
E06000009,Building Heat Eff.,nz-2045_hp-01,13.942880495657782
E06000009,Building Heat Eff.,nz-2050_hp-00,8.224400793114583
E06000009,Building Heat Eff.,nz-2050_hp-01,13.29794895176807
E06000009,Building Heat Gen.,nz-2040_hp-00,250.91431350023117
E06000009,Building Heat Gen.,nz-2040_hp-01,244.67780992226224
E06000009,Building Heat Gen.,nz-2045_hp-00,243.0799948453622
E06000009,Building Heat Gen.,nz-2045_hp-01,277.92098675219233
E06000009,Building Heat Gen.,nz-2050_hp-00,153.9005555376999
E06000009,Building Heat Gen.,nz-2050_hp-01,154.8357224763837
E06000009,DH systems,nz-2040_hp-00,2.886643577422711
E06000009,DH systems,nz-2040_hp-01,5.878529671667738
E06000009,DH systems,nz-2045_hp-00,8.524082555394909
E06000009,DH systems,nz-2045_hp-01,8.68964946052275
E06000009,DH systems,nz-2050_hp-00,18.52390832560722
E06000009,DH systems,nz-2050_hp-01,53.41716811884036
E06000009,Others,nz-2040_hp-00,0.012516979202282843
E06000009,Others,nz-2040_hp-01,0.012515864387708627
E06000009,Others,nz-2045_hp-00,0.012515709972473962
E06000009,Others,nz-2045_hp-01,2097.0990330319146
E06000009,Others,nz-2050_hp-00,0.01251555252269474
E06000009,Others,nz-2050_hp-01,0.012516077301067406
E06000009,T&D (except DH),nz-2040_hp-00,89.07391823033421
E06000009,T&D (except DH),nz-2040_hp-01,91.25780543283842
E06000009,T&D (except DH),nz-2045_hp-00,88.95820422224561
E06000009,T&D (except DH),nz-2045_hp-01,88.31086754498595
E06000009,T&D (except DH),nz-2050_hp-00,88.72559587539688
E06000009,T&D (except DH),nz-2050_hp-01,90.55162113583975
E06000010,Building Heat Dist.,nz-2040_hp-00,62.157890341757
E06000010,Building Heat Dist.,nz-2040_hp-01,62.92994902769511
E06000010,Building Heat Dist.,nz-2045_hp-00,62.86736490338937
E06000010,Building Heat Dist.,nz-2045_hp-01,65.63310568451088
E06000010,Building Heat Dist.,nz-2050_hp-00,43.01577514307185
E06000010,Building Heat Dist.,nz-2050_hp-01,38.37820538205115
E06000010,Building Heat Eff.,nz-2040_hp-00,13.760640389926293
E06000010,Building Heat Eff.,nz-2040_hp-01,13.49554137575048
E06000010,Building Heat Eff.,nz-2045_hp-00,13.435025880252793
E06000010,Building Heat Eff.,nz-2045_hp-01,16.529736805713938
E06000010,Building Heat Eff.,nz-2050_hp-00,11.080681237993183
E06000010,Building Heat Eff.,nz-2050_hp-01,16.071287821686013
E06000010,Building Heat Gen.,nz-2040_hp-00,399.1515199452846
E06000010,Building Heat Gen.,nz-2040_hp-01,393.6036672239155
E06000010,Building Heat Gen.,nz-2045_hp-00,389.9185927564499
E06000010,Building Heat Gen.,nz-2045_hp-01,439.4456014687052
E06000010,Building Heat Gen.,nz-2050_hp-00,244.9739133741342
E06000010,Building Heat Gen.,nz-2050_hp-01,266.42521313323977
E06000010,DH systems,nz-2040_hp-00,1.0874181195465362
E06000010,DH systems,nz-2040_hp-01,4.746003426872528
E06000010,DH systems,nz-2045_hp-00,9.955264513799564
E06000010,DH systems,nz-2045_hp-01,11.313086463955079
E06000010,DH systems,nz-2050_hp-00,30.27800687066848
E06000010,DH systems,nz-2050_hp-01,58.84814065363569
E06000010,Others,nz-2040_hp-00,0.010693065588144977
E06000010,Others,nz-2040_hp-01,0.010691902050311277
E06000010,Others,nz-2045_hp-00,0.0106916856462682
E06000010,Others,nz-2045_hp-01,1790.3325140872566
E06000010,Others,nz-2050_hp-00,0.010691510104224916
E06000010,Others,nz-2050_hp-01,0.01069215197164618
E06000010,T&D (except DH),nz-2040_hp-00,148.9562387758353
E06000010,T&D (except DH),nz-2040_hp-01,152.390264025401
E06000010,T&D (except DH),nz-2045_hp-00,148.59967891562488
E06000010,T&D (except DH),nz-2045_hp-01,147.86643951447587
E06000010,T&D (except DH),nz-2050_hp-00,148.16097540572176
E06000010,T&D (except DH),nz-2050_hp-01,154.9413194164135
E06000011,Building Heat Dist.,nz-2040_hp-00,83.78901342258258
E06000011,Building Heat Dist.,nz-2040_hp-01,82.05624273118774
E06000011,Building Heat Dist.,nz-2045_hp-00,85.20006597939172
E06000011,Building Heat Dist.,nz-2045_hp-01,82.66578534103466
E06000011,Building Heat Dist.,nz-2050_hp-00,56.92359299875456
E06000011,Building Heat Dist.,nz-2050_hp-01,53.80486130649982
E06000011,Building Heat Eff.,nz-2040_hp-00,13.294542924847956
E06000011,Building Heat Eff.,nz-2040_hp-01,13.829050520900228
E06000011,Building Heat Eff.,nz-2045_hp-00,12.408275426617296
E06000011,Building Heat Eff.,nz-2045_hp-01,12.623019864253335
