RUN,EMISSION,YEAR,VALUE
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,CD,2015,144993.4555394559
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,CD,2021,124237.15879931446
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,CD,2023,113663.78358342464
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,CD,2025,95160.37695475016
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,CD,2030,68726.93891158665
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,CD,2035,42293.50086742437
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,CD,2040,15860.062826187452
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,CD,2045,0.0
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,CD,2050,0.0
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,CD,2055,0.0
nz-2045_hp-00_dh-00_lp-00_h2-00_UK|LA|SO,CD,2060,0.0
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,CD,2015,144981.1203084285
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,CD,2021,124237.1588007871
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,CD,2023,113663.78358388197
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,CD,2025,95160.37695459992
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,CD,2030,68726.93891159723
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,CD,2035,35868.057898340434
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,CD,2040,15860.062825857549
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,CD,2045,0.0
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,CD,2050,0.0
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,CD,2055,0.0
nz-2045_hp-00_dh-00_lp-01_h2-00_UK|LA|SO,CD,2060,0.0
nz-2045_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,CD,2015,144992.76371852448
nz-2045_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,CD,2021,124237.15880041254
nz-2045_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,CD,2023,113663.78358387196
nz-2045_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,CD,2025,95160.37695488273
nz-2045_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,CD,2030,68726.93891016026
nz-2045_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,CD,2035,39227.15257156673
nz-2045_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,CD,2040,15860.062825777743
nz-2045_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,CD,2045,0.0
nz-2045_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,CD,2050,0.0
nz-2045_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,CD,2055,0.0
nz-2045_hp-00_dh-00_lp-01_h2-01_UK|LA|SO,CD,2060,0.0
nz-2045_hp-00_dh-01_lp-00_h2-00_UK|LA|SO,CD,2015,145383.90923608642
nz-2045_hp-00_dh-01_lp-00_h2-00_UK|LA|SO,CD,2021,124237.158799327
nz-2045_hp-00_dh-01_lp-00_h2-00_UK|LA|SO,CD,2023,113663.78358414664
nz-2045_hp-00_dh-01_lp-00_h2-00_UK|LA|SO,CD,2025,95160.37695488567
nz-2045_hp-00_dh-01_lp-00_h2-00_UK|LA|SO,CD,2030,68726.93891157358
nz-2045_hp-00_dh-01_lp-00_h2-00_UK|LA|SO,CD,2035,42293.50086979414
nz-2045_hp-00_dh-01_lp-00_h2-00_UK|LA|SO,CD,2040,14286.94970400904
nz-2045_hp-00_dh-01_lp-00_h2-00_UK|LA|SO,CD,2045,0.0
nz-2045_hp-00_dh-01_lp-00_h2-00_UK|LA|SO,CD,2050,0.0
nz-2045_hp-00_dh-01_lp-00_h2-00_UK|LA|SO,CD,2055,0.0
nz-2045_hp-00_dh-01_lp-00_h2-00_UK|LA|SO,CD,2060,0.0
nz-2045_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,CD,2015,145383.909235952
nz-2045_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,CD,2021,124237.15879417825
nz-2045_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,CD,2023,113663.78358386582
nz-2045_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,CD,2025,95160.37695666632
nz-2045_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,CD,2030,68726.93891154062
nz-2045_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,CD,2035,42293.500865367765
nz-2045_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,CD,2040,15860.062825767855
nz-2045_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,CD,2045,0.0
nz-2045_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,CD,2050,0.0
nz-2045_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,CD,2055,0.0
nz-2045_hp-00_dh-01_lp-00_h2-01_UK|LA|SO,CD,2060,0.0
nz-2045_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,CD,2015,145383.90923612582
nz-2045_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,CD,2021,124237.1588006476
nz-2045_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,CD,2023,113663.78358399626
nz-2045_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,CD,2025,95160.37695455902
nz-2045_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,CD,2030,67006.27320234262
nz-2045_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,CD,2035,35486.17610816491
nz-2045_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,CD,2040,15370.821338364925
nz-2045_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,CD,2045,0.0
nz-2045_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,CD,2050,0.0
nz-2045_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,CD,2055,0.0
nz-2045_hp-00_dh-01_lp-01_h2-00_UK|LA|SO,CD,2060,0.0
nz-2045_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,CD,2015,145383.9092361405
nz-2045_hp-00_dh-01_lp-01_h2-01_UK|LA|SO,CD,2021,124237.15880156944
