TECHNOLOGY,RUN,YEAR,VALUE
District heat,nz-2040_hp-01,2015,0.08460524486713968
District heat,nz-2040_hp-01,2023,0.17788293508401368
District heat,nz-2040_hp-01,2025,0.17712797442937792
District heat,nz-2040_hp-01,2030,0.17077123040177783
District heat,nz-2040_hp-01,2035,0.18142923697542976
District heat,nz-2040_hp-01,2040,0.171552429213089
District heat,nz-2040_hp-01,2045,0.227369244923935
District heat,nz-2040_hp-01,2050,0.2276151773207956
District heat,nz-2040_hp-01,2055,0.2523156384505893
District heat,nz-2045_hp-00,2015,0.08028670947480292
District heat,nz-2045_hp-00,2023,0.1861477287156816
District heat,nz-2045_hp-00,2025,0.2112650797883801
District heat,nz-2045_hp-00,2030,0.22134485766830359
District heat,nz-2045_hp-00,2035,0.2506763375007153
District heat,nz-2045_hp-00,2040,0.34347613939794747
District heat,nz-2045_hp-00,2045,0.4051471176577807
District heat,nz-2045_hp-00,2050,0.7860369047607728
District heat,nz-2045_hp-00,2055,0.8975898978312062
District heat,nz-2045_hp-01,2015,0.08490972276730688
District heat,nz-2045_hp-01,2023,0.20957867818547246
District heat,nz-2045_hp-01,2025,0.29697932767153234
District heat,nz-2045_hp-01,2030,0.43733024876209614
District heat,nz-2045_hp-01,2035,0.43628904805100976
District heat,nz-2045_hp-01,2040,0.4829968365290522
District heat,nz-2045_hp-01,2045,0.5221390299190947
District heat,nz-2045_hp-01,2050,0.6951603315211624
District heat,nz-2045_hp-01,2055,0.8582181999610627
District heat,nz-2050_hp-00,2015,0.08028757587781674
District heat,nz-2050_hp-00,2023,0.19325870576384108
District heat,nz-2050_hp-00,2025,0.34349172954259877
District heat,nz-2050_hp-00,2030,0.5465027480995721
District heat,nz-2050_hp-00,2035,0.6886768553259516
District heat,nz-2050_hp-00,2040,0.7378438263855456
District heat,nz-2050_hp-00,2045,0.76331617167087
District heat,nz-2050_hp-00,2050,0.7886511242732529
District heat,nz-2050_hp-00,2055,0.8047953723533198
District heat,nz-2050_hp-01,2015,0.08334421155136079
District heat,nz-2050_hp-01,2023,0.19178159498533043
District heat,nz-2050_hp-01,2025,0.3169405945979742
District heat,nz-2050_hp-01,2030,0.5454448239276176
District heat,nz-2050_hp-01,2035,1.1726207079483353
District heat,nz-2050_hp-01,2040,2.1545146720823873
District heat,nz-2050_hp-01,2045,2.6529221266926384
District heat,nz-2050_hp-01,2050,3.4336893937221196
District heat,nz-2050_hp-01,2055,3.499672213999644
Building retrofit,nz-2040_hp-00,2015,0.0
Building retrofit,nz-2040_hp-00,2023,0.04403477596734004
Building retrofit,nz-2040_hp-00,2025,0.1587453630647536
Building retrofit,nz-2040_hp-00,2030,0.35640983149737054
Building retrofit,nz-2040_hp-00,2035,0.39120738650511483
Building retrofit,nz-2040_hp-00,2040,0.48424307301796016
