YEAR,RUN,AAHP,ASHP,AWHP,BEHI,BELO,BEME,BEST,BMBO,ELRE,ELST,GSHP,H2BO,HIUM,NGBO,OIBO
2015,NZ_UK|LA|SO,0.0,7633.6723706466455,45865.283506739026,0.0,0.0,0.0,0.0,9724.737166034374,107567.9336954795,45980.47245203857,1657.5597795995347,0.0,25463.481558429638,1225110.700152737,80259.1654344979
2023,NZ_UK|LA|SO,6222.19890571624,10301.63124374892,64076.252010084965,0.0007482217548507018,1362.7450488832742,0.05666845168735861,9223.47150808298,3346.418312957038,82298.05235428948,27048.942121609427,1486.0489516560913,0.011303532148168411,61726.772775003206,1250128.233226749,80743.97401685432
2025,NZ_UK|LA|SO,8081.462307298956,64782.108950460475,119022.05292220277,0.0009238470468068362,4668.294457481084,0.05641112977754123,31002.74709855887,5199.655571694209,66177.34283944227,27262.776904550665,1188.7911375621538,0.016957728552473406,94007.74887727805,1136975.686005123,63223.55018121625
2030,NZ_UK|LA|SO,1796.5910653186095,152442.35055520825,239869.8378735888,0.0009917269492600899,7691.277631454912,0.0496666765155881,75159.25302720032,2186.1075627404125,17331.05126362619,10448.683746960234,764.1761286899205,0.01683757483050741,103764.19994163609,1005823.3219782949,36381.908092854486
2035,NZ_UK|LA|SO,7034.215578149585,431374.4078922239,333277.07428304484,0.0010263257594433912,8224.518014788266,0.04947013155571432,82254.27558207867,574.8084976641892,1085.0723524581897,328.87348316506905,393.1204934521774,28.91682161473229,116423.18816836897,687065.1780885846,15723.138939120092
2040,NZ_UK|LA|SO,9775.72523454329,745185.2156627866,364035.32099519065,0.0011464495945580605,16016.232645146913,0.049736804267671145,82348.26812899395,50.28087936771553,5706.569741553762,0.010021243248581599,55448.43569130361,2596.5552833439656,147731.35323335775,281681.08941178257,183.4482732019076
2045,NZ_UK|LA|SO,5588.725055796206,882396.7742493203,389331.74988652347,0.0012762788642181246,27579.169935803635,0.06857913529726425,82370.80676933905,218.038634782935,23603.37425512367,0.014520384153928801,168040.22005842865,4663.3195147207025,153348.8926645341,0.0,0.0
2050,NZ_UK|LA|SO,4337.934774411448,897238.0283711876,401895.1057243605,0.0015114910074182772,30466.472758733475,0.4311813789698645,82419.61660348764,217.9002443628509,28659.119540106003,0.023130229339375752,169839.41140477636,2924.6827288024306,146609.2608339796,0.0,0.0
2055,NZ_UK|LA|SO,0.009443655580520079,903108.0687599056,383189.9370802355,0.001878089338288617,33061.90173419242,1.0892734080574162,82462.5433086309,218.072647076367,48894.703548025725,0.028647238381715873,169787.05406940973,2229.94296234089,169965.79020300193,0.0,0.0
